Player,Pos,Age,Tm,PER,BPM,WS/48,VORP,TS%,FG%,eFG%,3P%,2P%,FT%,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,OBPM,DBPM,PPG,APG,RPG,SPG,BPG,TPG,FPG
Rudy Gobert,C,28.0,UTA,23.5,4.9,0.25,3.8,0.68,0.68,0.68,0.0,0.68,0.62,391,579,0.0,4.0,391,575,233,374,240.0,720.0,0.01,0.65,12.2,33.5,23.3,6.0,0.9,7.0,13.7,17.0,6.1,5.2,11.3,2.1,2.8,14.3,1.25,13.52,0.56,2.68,1.66,2.3
Rui Hachimura,PF,22.0,WAS,11.4,-3.1,0.06,-0.5,0.55,0.48,0.51,0.33,0.52,0.77,310,648,45.0,137.0,265,511,124,161,49.0,263.0,0.21,0.25,2.9,15.5,9.2,6.3,1.1,0.3,8.6,18.1,0.7,1.4,2.1,-2.2,-1.0,13.84,1.44,5.47,0.77,0.12,1.19,2.11
Russell Westbrook,PG,32.0,WAS,19.5,3.7,0.08,3.4,0.51,0.44,0.47,0.32,0.48,0.66,544,1238,86.0,273.0,458,965,271,413,109.0,641.0,0.22,0.33,4.9,28.6,16.8,48.6,1.7,0.8,18.0,30.2,0.5,3.2,3.7,2.6,1.1,22.23,11.74,11.54,1.37,0.35,4.8,2.92
Ryan Arcidiacono,PG,26.0,CHI,9.8,-2.3,0.09,0.0,0.54,0.42,0.53,0.37,0.48,0.65,49,117,25.0,67.0,24,50,13,20,5.0,62.0,0.57,0.17,1.2,15.1,8.3,16.3,1.0,0.0,7.4,13.1,0.5,0.4,0.9,-2.6,0.3,3.09,1.27,1.52,0.2,0.0,0.23,1.07
Saben Lee,PG,21.0,DET,13.8,-2.0,0.09,0.0,0.54,0.47,0.49,0.35,0.49,0.68,99,210,8.0,23.0,91,187,61,89,20.0,77.0,0.11,0.42,2.8,11.1,6.9,33.2,2.0,1.5,18.1,17.0,0.7,0.8,1.5,-2.1,0.2,5.56,3.62,2.02,0.67,0.27,1.15,1.58
Saddiq Bey,SF,21.0,DET,12.6,-0.5,0.08,0.7,0.57,0.4,0.53,0.38,0.45,0.84,279,691,175.0,460.0,104,231,124,147,43.0,275.0,0.67,0.21,2.5,16.2,9.3,7.6,1.3,0.6,7.4,18.7,1.6,1.7,3.3,0.3,-0.8,12.24,1.36,4.54,0.74,0.2,0.86,1.57
Sam Merrill,SG,24.0,MIL,11.9,-1.0,0.1,0.1,0.6,0.44,0.59,0.45,0.44,1.0,32,72,21.0,47.0,11,25,4,4,6.0,24.0,0.65,0.06,2.8,10.4,6.8,11.4,1.6,0.4,11.9,15.0,0.3,0.2,0.5,-0.7,-0.3,2.97,0.7,1.0,0.27,0.03,0.33,0.57
Sean McDermott,SF,24.0,MEM,7.2,-4.3,0.05,-0.1,0.53,0.39,0.47,0.23,0.73,1.0,13,33,5.0,22.0,8,11,8,8,6.0,13.0,0.67,0.24,4.0,8.8,6.4,3.1,0.6,1.7,9.9,10.8,0.1,0.1,0.2,-3.1,-1.2,2.17,0.22,1.06,0.11,0.17,0.22,0.44
Sekou Doumbouya,PF,20.0,DET,6.9,-6.7,-0.01,-1.0,0.46,0.38,0.43,0.23,0.48,0.7,107,282,26.0,115.0,81,167,45,64,39.0,104.0,0.41,0.23,4.9,13.5,9.2,8.0,1.4,0.9,12.4,17.8,-0.9,0.7,-0.2,-5.4,-1.3,5.09,0.84,2.55,0.43,0.16,0.79,1.68
Semi Ojeleye,PF,26.0,BOS,8.3,-2.4,0.06,-0.1,0.55,0.4,0.53,0.37,0.49,0.75,89,221,58.0,158.0,31,63,24,32,31.0,116.0,0.72,0.14,3.6,13.7,8.6,5.1,0.9,0.0,8.2,11.6,0.7,0.6,1.2,-1.7,-0.7,4.64,0.66,2.62,0.3,0.0,0.38,1.0
Serge Ibaka,C,31.0,LAC,18.2,1.4,0.15,0.8,0.58,0.51,0.56,0.34,0.59,0.81,186,365,39.0,115.0,147,250,43,53,73.0,202.0,0.32,0.14,8.9,23.1,16.2,11.5,0.5,4.4,10.2,20.1,1.7,1.3,3.0,1.2,0.2,11.07,1.8,6.71,0.22,1.15,1.07,1.85
Seth Curry,SG,30.0,PHI,12.9,-0.3,0.12,0.7,0.61,0.47,0.58,0.45,0.48,0.9,258,552,126.0,280.0,132,272,69,77,10.0,126.0,0.51,0.14,0.7,8.3,4.6,13.6,1.3,0.4,10.0,17.1,2.3,1.7,4.0,0.1,-0.4,12.47,2.72,2.39,0.77,0.14,1.14,1.68
Shai Gilgeous-Alexander,SG,22.0,OKC,21.6,4.1,0.14,1.8,0.62,0.51,0.57,0.42,0.55,0.81,287,565,71.0,170.0,216,395,185,229,19.0,147.0,0.3,0.4,1.7,13.1,7.3,31.2,1.1,1.7,13.7,27.8,2.7,0.8,3.5,3.9,0.2,23.71,5.91,4.74,0.77,0.66,3.03,2.0
Shake Milton,SG,24.0,PHI,14.6,-1.6,0.09,0.1,0.55,0.45,0.5,0.35,0.49,0.83,300,667,71.0,203.0,229,464,146,176,33.0,115.0,0.3,0.26,2.5,8.5,5.6,20.3,1.3,1.1,12.2,24.9,1.1,1.6,2.8,-0.7,-1.0,12.97,3.06,2.35,0.62,0.29,1.63,2.06
Shaquille Harrison,SG,27.0,UTA,6.7,-5.15,0.0,-0.1,0.4,0.32,0.34,0.11,0.36,0.82,26,78,3.0,16.0,23,62,18,22,7.0,41.0,0.17,0.29,3.75,12.6,8.25,14.3,2.2,0.9,13.25,16.25,-0.1,0.25,0.1,-5.9,0.75,2.15,0.74,1.41,0.5,0.15,0.32,0.97
Sindarius Thornwell,SG,26.0,NOP,6.1,-4.85,-0.01,-0.1,0.41,0.33,0.4,0.31,0.35,0.33,15,46,7.0,23.0,8,23,4,8,3.0,15.0,0.49,0.17,1.45,7.05,4.2,11.5,3.0,0.95,12.65,12.05,-0.1,0.1,0.0,-5.75,0.9,1.95,1.0,0.86,0.62,0.1,0.33,0.71
Skylar Mays,SG,23.0,ATL,16.8,1.9,0.14,0.3,0.57,0.45,0.52,0.35,0.52,0.88,44,98,14.0,40.0,30,58,22,25,10.0,25.0,0.41,0.26,4.2,10.0,7.1,16.4,2.6,0.7,7.6,19.1,0.5,0.3,0.8,1.2,0.7,3.76,0.91,1.06,0.42,0.06,0.27,0.45
Solomon Hill,PF,29.0,ATL,6.7,-2.5,0.04,-0.2,0.5,0.36,0.47,0.32,0.45,0.76,107,298,68.0,212.0,39,86,35,46,42.0,172.0,0.71,0.15,3.1,12.2,7.7,6.4,1.6,0.6,11.7,10.4,0.1,1.2,1.3,-3.0,0.5,4.46,1.06,3.01,0.7,0.15,0.59,1.63
Spencer Dinwiddie,SG,27.0,BRK,10.1,0.2,0.04,0.0,0.54,0.38,0.44,0.29,0.44,1.0,6,16,2.0,7.0,4,9,6,6,0.0,13.0,0.44,0.38,0.0,21.3,11.2,17.6,1.5,1.4,21.2,16.1,0.0,0.1,0.1,-2.4,2.6,6.67,3.0,4.33,0.67,0.33,1.67,1.33
Stanley Johnson,PF,24.0,TOR,8.8,-2.5,0.05,-0.1,0.52,0.38,0.48,0.33,0.46,0.8,89,233,45.0,137.0,44,96,44,55,29.0,124.0,0.59,0.24,3.1,14.1,8.4,12.0,2.5,1.8,17.4,13.4,-0.1,1.1,1.0,-3.8,1.2,4.38,1.46,2.51,0.85,0.3,0.89,1.9
Stephen Curry,PG,32.0,GSW,26.3,8.7,0.2,5.8,0.66,0.48,0.6,0.42,0.57,0.92,658,1365,337.0,801.0,321,564,362,395,29.0,316.0,0.59,0.29,1.5,15.4,8.5,30.5,1.7,0.3,12.2,34.8,6.5,2.5,9.0,8.3,0.4,31.98,5.76,5.48,1.22,0.13,3.38,1.89
Sterling Brown,SG,25.0,HOU,11.1,-1.6,0.07,0.1,0.6,0.45,0.58,0.42,0.49,0.81,150,335,91.0,215.0,59,120,25,31,38.0,186.0,0.64,0.09,3.2,16.8,9.7,8.4,1.5,0.9,10.5,13.5,1.0,0.8,1.8,-1.6,0.0,8.16,1.41,4.39,0.75,0.24,0.8,1.9
Steven Adams,C,27.0,NOP,15.1,-0.3,0.12,0.7,0.6,0.61,0.61,0.0,0.62,0.44,189,308,0.0,3.0,189,305,60,135,213.0,301.0,0.01,0.44,14.4,20.4,17.4,9.1,1.6,2.2,17.5,11.7,2.3,1.7,4.0,-0.4,0.1,7.55,1.91,8.86,0.93,0.66,1.34,1.95
Svi Mykhailiuk,SF,23.0,DET,10.4,-2.55,0.01,-0.1,0.53,0.41,0.51,0.33,0.53,0.75,208,506,105.0,314.0,103,192,38,50,24.0,139.0,0.64,0.1,1.9,11.4,6.6,12.9,1.9,0.8,14.3,20.0,-0.4,0.55,0.1,-1.9,-0.65,8.47,1.67,2.47,0.77,0.18,1.33,0.95
T.J. Leaf,PF,23.0,POR,11.2,-3.0,0.02,0.0,0.55,0.5,0.5,0.0,0.5,1.0,5,10,0.0,0.0,5,10,2,2,0.0,5.0,0.0,0.2,0.0,15.7,7.6,4.0,2.8,2.6,15.5,15.8,0.0,0.0,0.0,-3.9,0.9,1.71,0.14,0.71,0.29,0.14,0.29,0.14
T.J. McConnell,PG,28.0,IND,16.9,1.4,0.13,1.5,0.58,0.56,0.57,0.31,0.59,0.69,274,490,15.0,48.0,259,442,33,48,55.0,201.0,0.1,0.1,3.3,12.1,7.7,34.3,3.4,1.0,20.9,15.3,2.6,2.2,4.8,-0.2,1.7,8.64,6.61,3.71,1.86,0.33,1.96,1.64
T.J. Warren,SF,27.0,IND,11.6,-5.5,0.04,-0.1,0.56,0.53,0.53,0.0,0.61,0.8,27,51,0.0,7.0,27,44,8,10,2.0,12.0,0.14,0.2,1.9,11.1,6.5,6.5,0.8,0.0,6.7,21.6,0.1,0.1,0.1,-3.6,-1.9,15.5,1.25,3.5,0.5,0.0,1.0,4.0
Tacko Fall,C,25.0,BOS,19.6,1.2,0.18,0.1,0.66,0.72,0.72,0.0,0.72,0.33,21,29,0.0,0.0,21,29,5,15,16.0,36.0,0.0,0.52,13.0,29.7,21.3,3.1,0.4,13.7,14.4,13.2,0.2,0.3,0.5,-1.7,2.9,2.47,0.16,2.74,0.05,1.05,0.32,1.16
Taj Gibson,C,35.0,NYK,16.0,1.3,0.2,0.8,0.66,0.63,0.64,0.2,0.67,0.73,99,158,3.0,15.0,96,143,40,55,99.0,151.0,0.1,0.35,11.6,17.3,14.5,5.4,1.7,5.0,10.8,9.7,2.1,1.7,3.8,-0.7,2.1,5.36,0.8,5.56,0.69,1.09,0.49,2.2
Talen Horton-Tucker,SG,20.0,LAL,12.9,-1.2,0.08,0.3,0.54,0.46,0.5,0.28,0.52,0.78,224,489,37.0,131.0,187,358,100,129,25.0,144.0,0.27,0.26,2.2,12.3,7.3,20.8,2.4,1.4,16.1,21.7,-0.1,2.2,2.1,-2.6,1.5,9.0,2.78,2.6,0.97,0.32,1.62,1.95
Taurean Prince,PF,26.0,BRK,11.95,-1.95,0.06,0.0,0.55,0.4,0.49,0.38,0.42,0.86,131,327,62.0,155.0,69,172,65,76,19.0,123.0,0.48,0.28,1.9,15.3,8.7,9.9,1.6,2.55,11.5,19.55,0.1,0.35,0.5,-1.55,-0.35,9.49,1.85,3.46,0.68,0.56,1.15,1.83
Terance Mann,SG,24.0,LAC,13.8,-0.2,0.14,0.6,0.6,0.51,0.56,0.42,0.54,0.83,178,350,38.0,91.0,140,259,78,94,56.0,186.0,0.26,0.27,5.1,16.1,10.8,11.3,1.1,0.9,9.3,15.1,2.4,1.3,3.7,-0.5,0.3,7.04,1.55,3.61,0.43,0.19,0.6,1.88
Terence Davis,SG,23.0,TOR,12.55,-1.75,0.04,0.05,0.55,0.43,0.53,0.37,0.51,0.84,195,456,98.0,267.0,97,189,45,55,20.0,134.0,0.58,0.12,2.0,14.05,7.9,11.45,1.95,1.2,11.6,21.75,0.0,0.35,0.45,-0.95,-0.85,8.74,1.36,2.52,0.72,0.23,1.03,1.59
Terrance Ferguson,SG,22.0,PHI,-7.1,-14.3,-0.16,-0.2,0.14,0.14,0.14,0.0,0.5,0.0,1,7,0.0,5.0,1,2,0,0,0.0,1.0,0.71,0.0,0.0,2.2,1.1,4.9,1.0,0.0,36.4,9.7,-0.2,0.0,-0.2,-12.1,-2.2,0.15,0.15,0.08,0.08,0.0,0.31,0.54
Terrence Ross,SG,29.0,ORL,13.2,-2.3,0.03,-0.1,0.53,0.41,0.48,0.34,0.47,0.87,254,616,89.0,264.0,165,352,120,138,15.0,143.0,0.43,0.22,1.1,11.4,6.1,13.2,1.7,1.4,9.9,24.1,-0.1,1.0,0.9,-1.4,-0.8,15.59,2.35,3.43,1.02,0.46,1.61,1.91
Terry Rozier,SG,26.0,CHO,17.1,1.6,0.1,2.2,0.57,0.45,0.55,0.39,0.51,0.82,510,1134,222.0,571.0,288,563,165,202,47.0,255.0,0.5,0.18,2.1,11.8,6.9,20.0,1.8,1.1,9.5,24.4,3.3,2.0,5.2,2.2,-0.5,20.39,4.25,4.38,1.26,0.38,1.86,1.72
Thaddeus Young,PF,32.0,CHI,20.3,3.3,0.15,2.2,0.58,0.56,0.57,0.27,0.58,0.63,370,662,12.0,45.0,358,617,71,113,168.0,255.0,0.07,0.17,11.4,16.9,14.2,27.1,2.2,2.1,16.1,22.3,2.8,2.2,5.1,1.9,1.4,12.1,4.28,6.22,1.09,0.59,2.01,2.24
Thanasis Antetokounmpo,SF,28.0,MIL,10.3,-3.5,0.06,-0.2,0.52,0.49,0.52,0.24,0.56,0.51,67,137,7.0,29.0,60,108,25,49,54.0,70.0,0.21,0.36,10.7,12.9,11.8,10.3,1.9,1.6,21.3,15.3,0.0,0.6,0.7,-3.7,0.2,2.91,0.81,2.18,0.39,0.18,0.75,1.3
Theo Pinson,SG,25.0,NYK,-8.1,-15.7,-0.2,-0.1,0.11,0.11,0.11,0.0,1.0,0.0,1,9,0.0,8.0,1,1,0,0,0.0,5.0,0.89,0.0,0.0,15.8,8.0,3.7,0.0,0.0,10.0,13.1,-0.2,0.0,-0.1,-13.2,-2.5,0.12,0.06,0.29,0.0,0.0,0.06,0.24
Thomas Bryant,C,23.0,WAS,18.7,0.9,0.17,0.2,0.7,0.65,0.7,0.43,0.71,0.67,59,91,9.0,21.0,50,70,16,24,18.0,43.0,0.23,0.26,7.1,16.8,11.9,8.2,0.7,2.5,9.8,17.2,0.7,0.2,1.0,1.4,-0.6,14.3,1.5,6.1,0.4,0.8,1.1,3.1
Thon Maker,C,23.0,CLE,18.6,0.7,0.17,0.1,0.66,0.56,0.56,0.0,0.62,0.91,10,18,0.0,2.0,10,16,10,11,8.0,10.0,0.11,0.61,11.5,15.1,13.3,7.9,1.3,4.7,11.6,14.8,0.2,0.1,0.3,-0.3,1.1,3.75,0.5,2.25,0.25,0.5,0.38,0.88
Théo Maledon,PG,19.0,OKC,8.2,-5.0,-0.02,-1.3,0.49,0.37,0.45,0.34,0.4,0.75,226,614,105.0,313.0,121,301,101,135,25.0,186.0,0.51,0.22,1.4,11.0,6.2,18.8,1.5,0.5,17.3,19.4,-1.9,1.1,-0.8,-4.0,-1.0,10.12,3.49,3.25,0.86,0.17,2.17,1.94
Tim Frazier,PG,30.0,MEM,-0.5,-11.9,-0.17,-0.2,0.18,0.15,0.15,0.0,0.25,0.33,3,20,0.0,8.0,3,12,2,6,0.0,8.0,0.4,0.3,0.0,13.8,6.8,30.8,1.5,1.5,15.0,18.1,-0.3,0.1,-0.2,-10.7,-1.2,1.6,3.2,1.6,0.4,0.2,0.8,1.4
Tim Hardaway Jr.,SG,28.0,DAL,15.7,0.4,0.1,1.2,0.59,0.45,0.56,0.39,0.52,0.82,407,911,207.0,529.0,200,382,142,174,20.0,209.0,0.58,0.19,1.1,11.5,6.4,9.8,0.8,0.5,6.1,23.4,3.2,1.2,4.3,2.0,-1.7,16.61,1.8,3.27,0.44,0.16,0.91,1.59
Timothé Luwawu-Cabarrot,SF,25.0,BRK,7.8,-4.4,0.02,-0.6,0.49,0.36,0.47,0.31,0.47,0.81,130,356,75.0,239.0,55,117,35,43,28.0,101.0,0.67,0.12,3.1,10.1,6.8,8.6,1.5,0.5,10.3,17.4,-0.3,0.7,0.3,-3.2,-1.2,6.38,1.19,2.22,0.57,0.1,0.74,1.71
Tobias Harris,PF,28.0,PHI,20.0,3.7,0.17,2.9,0.6,0.51,0.56,0.39,0.55,0.89,473,924,82.0,208.0,391,716,182,204,62.0,357.0,0.22,0.22,3.5,19.2,11.4,17.6,1.3,2.3,9.5,23.9,4.1,3.1,7.1,2.9,0.8,19.52,3.55,6.76,0.89,0.82,1.73,1.92
Tomá Satoranský,SG,29.0,CHI,13.8,-0.5,0.11,0.5,0.61,0.51,0.58,0.36,0.6,0.85,169,329,42.0,118.0,127,211,67,79,30.0,112.0,0.36,0.24,2.6,9.4,6.0,27.9,1.5,0.9,20.9,15.2,1.9,1.1,3.1,-0.6,0.1,7.71,4.67,2.45,0.69,0.24,1.66,1.53
Tony Bradley,C,23.0,PHI,20.75,1.55,0.2,0.3,0.68,0.67,0.67,0.0,0.68,0.67,131,197,0.0,3.0,131,194,38,55,85.0,154.0,0.01,0.25,13.55,24.05,18.8,8.5,1.05,3.95,11.5,15.45,0.9,0.5,1.4,1.35,0.25,7.14,0.88,5.69,0.36,0.71,0.79,1.45
Tony Snell,SG,29.0,ATL,9.5,-0.5,0.1,0.4,0.71,0.52,0.7,0.57,0.42,1.0,88,171,62.0,109.0,26,62,11,11,18.0,94.0,0.64,0.06,2.0,10.2,6.2,7.9,0.6,1.0,10.7,8.6,1.6,0.5,2.0,-0.4,-0.1,5.3,1.26,2.38,0.28,0.23,0.45,1.6
Torrey Craig,SF,30.0,MIL,12.9,0.1,0.12,0.25,0.54,0.45,0.53,0.37,0.52,0.65,109,227,39.0,106.0,70,121,17,22,57.0,140.0,0.47,0.08,7.75,17.75,12.85,8.45,1.85,2.95,9.55,13.15,0.55,0.55,1.1,-0.9,1.0,5.48,0.98,3.94,0.56,0.52,0.5,1.66
Trae Young,PG,22.0,ATL,23.0,3.7,0.16,3.0,0.59,0.44,0.5,0.34,0.49,0.89,487,1112,136.0,397.0,351,715,484,546,38.0,207.0,0.36,0.49,2.0,10.5,6.3,45.5,1.2,0.5,16.2,33.0,5.9,1.3,7.2,5.3,-1.7,25.3,9.43,3.89,0.84,0.19,4.14,1.76
Tre Jones,PG,21.0,SAS,12.1,-3.5,0.07,-0.1,0.54,0.47,0.49,0.6,0.47,0.9,37,78,3.0,5.0,34,73,17,19,8.0,13.0,0.06,0.24,3.1,5.2,4.2,20.0,1.4,0.0,13.1,16.1,0.2,0.1,0.4,-2.2,-1.3,2.54,1.05,0.57,0.22,0.0,0.35,0.35
Tremont Waters,PG,23.0,BOS,14.6,0.3,0.08,0.1,0.54,0.4,0.49,0.4,0.41,0.94,34,84,15.0,38.0,19,46,16,17,5.0,16.0,0.45,0.2,2.3,7.5,4.9,36.4,3.1,0.4,22.8,21.4,0.2,0.2,0.4,0.4,-0.1,3.81,2.38,0.81,0.58,0.04,1.04,0.65
Trent Forrest,PG,22.0,UTA,11.2,-1.3,0.11,0.1,0.55,0.45,0.49,0.19,0.6,1.0,32,71,5.0,26.0,27,45,19,19,11.0,33.0,0.37,0.27,4.0,11.1,7.7,19.9,1.5,1.1,20.9,14.3,0.3,0.4,0.7,-2.5,1.2,2.93,1.5,1.47,0.3,0.13,0.7,0.73
Trevor Ariza,SF,35.0,MIA,11.9,-1.1,0.09,0.2,0.54,0.41,0.52,0.35,0.5,0.77,99,241,50.0,143.0,49,98,34,44,27.0,117.0,0.59,0.18,3.7,15.6,9.8,9.4,1.8,2.2,7.5,15.1,0.5,1.0,1.6,-1.2,0.1,9.4,1.83,4.8,1.03,0.6,0.7,1.83
Trey Burke,PG,28.0,DAL,12.6,-1.8,0.07,0.0,0.54,0.43,0.51,0.35,0.49,0.9,151,353,58.0,164.0,93,189,51,57,10.0,44.0,0.46,0.16,1.2,5.3,3.3,12.9,1.9,0.7,8.0,20.0,0.7,0.7,1.4,-1.4,-0.4,6.63,1.31,0.87,0.58,0.11,0.53,1.03
Trey Lyles,PF,25.0,SAS,11.4,-1.8,0.08,0.0,0.57,0.48,0.56,0.35,0.58,0.65,43,90,14.0,40.0,29,50,15,23,9.0,77.0,0.44,0.26,2.6,23.3,12.8,5.3,0.8,0.2,5.7,12.9,0.3,0.3,0.6,-1.3,-0.5,5.0,0.61,3.74,0.26,0.04,0.26,0.57
Tristan Thompson,PF,29.0,BOS,14.2,-2.5,0.11,-0.2,0.54,0.52,0.52,0.0,0.52,0.59,169,326,0.0,3.0,169,323,71,120,169.0,270.0,0.01,0.37,14.5,23.5,19.0,7.2,0.9,2.4,14.1,14.8,1.5,1.4,2.9,-1.5,-1.0,7.57,1.24,8.13,0.44,0.61,1.15,2.2
Troy Brown Jr.,SF,21.0,WAS,8.75,-3.85,0.05,-0.15,0.54,0.45,0.52,0.32,0.56,0.75,62,144,22.0,70.0,40,74,15,21,20.0,85.0,0.48,0.14,4.2,17.3,10.8,7.05,0.95,0.95,11.15,13.8,0.0,0.2,0.2,-3.25,-0.55,4.74,0.85,3.09,0.29,0.18,0.62,1.44
Ty Jerome,SG,23.0,OKC,13.4,-0.7,0.08,0.3,0.58,0.45,0.57,0.42,0.48,0.76,128,287,71.0,168.0,57,119,26,34,10.0,81.0,0.58,0.12,1.3,10.8,6.0,23.7,1.2,0.7,13.5,18.8,0.9,0.4,1.3,0.1,-0.8,10.7,3.64,2.76,0.61,0.18,1.42,1.85
Ty-Shon Alexander,SG,22.0,PHO,4.2,-6.5,-0.05,-0.1,0.35,0.25,0.33,0.22,0.33,0.5,3,12,2.0,9.0,1,3,1,2,2.0,8.0,0.75,0.17,4.9,19.0,12.1,15.4,0.0,1.9,18.9,15.0,-0.1,0.0,0.0,-4.8,-1.7,0.6,0.4,0.67,0.0,0.07,0.2,0.13
Tyler Bey,SF,22.0,DAL,5.9,-9.5,-0.03,-0.1,0.37,0.32,0.34,0.25,0.33,0.6,7,22,1.0,4.0,6,18,3,5,8.0,11.0,0.18,0.23,12.5,16.9,14.7,5.6,0.0,1.3,11.0,16.9,-0.1,0.0,0.0,-5.5,-3.9,1.0,0.17,1.06,0.0,0.06,0.17,0.33
Tyler Cook,PF,23.0,BRK,7.4,-4.55,0.02,-0.05,0.5,0.51,0.51,0.25,0.51,0.24,69,103,1.0,2.0,68,101,17,35,28.0,67.0,0.01,0.18,7.0,11.9,9.4,9.85,0.45,0.2,19.9,12.2,0.25,0.15,0.4,-3.6,-0.9,4.88,0.53,2.97,0.25,0.06,0.66,1.09
Tyler Herro,SG,21.0,MIA,13.3,-1.3,0.05,0.3,0.54,0.44,0.52,0.36,0.5,0.8,307,699,107.0,297.0,200,402,94,117,25.0,243.0,0.42,0.17,1.8,16.7,9.4,18.0,1.1,1.1,11.9,23.5,0.1,1.6,1.7,-0.3,-1.0,15.09,3.41,4.96,0.65,0.31,1.87,1.31
Tyler Johnson,SG,28.0,BRK,8.2,-3.4,0.05,-0.2,0.55,0.39,0.52,0.36,0.47,0.86,72,183,48.0,132.0,24,51,18,21,6.0,71.0,0.72,0.12,1.0,10.9,6.2,8.7,1.0,0.0,8.1,13.3,0.4,0.3,0.7,-2.4,-1.0,5.38,1.21,1.97,0.36,0.0,0.44,1.1
Tyrell Terry,PG,20.0,DAL,6.0,-5.0,-0.05,0.0,0.32,0.31,0.31,0.0,0.56,0.33,5,16,0.0,7.0,5,9,1,3,0.0,6.0,0.44,0.19,0.0,11.7,5.9,14.0,4.4,0.0,10.4,15.3,-0.1,0.1,-0.1,-7.5,2.6,1.0,0.55,0.55,0.45,0.0,0.18,0.18
Tyrese Haliburton,PG,20.0,SAC,16.2,1.4,0.1,1.5,0.58,0.47,0.57,0.41,0.53,0.86,292,619,121.0,296.0,171,323,48,56,39.0,134.0,0.48,0.09,2.4,8.6,5.5,24.6,2.1,1.4,12.5,18.1,2.8,0.7,3.5,1.9,-0.5,12.98,5.33,2.98,1.33,0.48,1.59,1.43
Tyrese Maxey,SG,20.0,PHI,14.5,-1.5,0.1,0.1,0.53,0.46,0.5,0.3,0.51,0.87,198,429,31.0,103.0,167,326,61,70,11.0,93.0,0.24,0.16,1.3,10.8,6.1,19.9,1.3,1.2,8.2,23.0,0.8,1.1,1.9,-1.0,-0.5,8.0,1.97,1.7,0.43,0.21,0.67,1.3
Tyus Jones,PG,24.0,MEM,15.0,0.8,0.11,0.9,0.51,0.43,0.48,0.32,0.49,0.91,178,413,45.0,140.0,133,273,41,45,21.0,119.0,0.34,0.11,1.8,10.4,6.1,28.6,2.5,0.4,10.0,16.6,1.5,1.3,2.8,-0.1,0.9,6.31,3.7,2.0,0.91,0.09,0.69,0.44
Udoka Azubuike,C,21.0,UTA,10.3,-3.8,0.12,0.0,0.6,0.44,0.44,0.0,0.44,0.8,4,9,0.0,0.0,4,9,8,10,4.0,9.0,0.0,1.11,7.8,16.0,12.1,0.0,0.9,5.7,18.3,12.4,0.0,0.1,0.1,-5.5,1.7,1.07,0.0,0.87,0.07,0.27,0.2,0.6
Vernon Carey Jr.,C,19.0,CHO,11.7,-6.1,0.07,-0.1,0.56,0.5,0.51,0.14,0.59,0.82,18,36,1.0,7.0,17,29,9,11,6.0,21.0,0.19,0.31,5.6,20.1,12.7,2.6,0.4,4.3,10.9,17.2,0.0,0.1,0.2,-4.4,-1.7,2.42,0.11,1.42,0.05,0.26,0.26,0.68
Victor Oladipo,SG,28.0,IND,12.83,-3.4,0.0,0.0,0.5,0.4,0.46,0.31,0.47,0.73,235,576,78.0,239.0,157,337,104,138,12.0,148.0,0.42,0.29,1.57,14.53,8.0,20.97,2.4,1.23,14.07,27.53,-0.2,0.33,0.13,-2.47,-0.9,19.76,4.58,4.85,1.39,0.42,2.52,2.45
Vincent Poirier,C,27.0,PHI,1.6,-14.8,-0.13,-0.1,0.27,0.25,0.25,0.0,0.27,0.33,3,12,0.0,1.0,3,11,2,6,6.0,8.0,0.08,0.5,17.2,22.2,19.8,6.6,0.0,6.9,21.5,20.6,-0.2,0.1,-0.1,-12.3,-2.4,0.8,0.2,1.4,0.0,0.3,0.4,0.8
Vlatko Cancar,PF,23.0,DEN,9.7,-2.6,0.05,0.0,0.55,0.46,0.52,0.27,0.62,0.77,33,72,9.0,33.0,24,39,10,13,11.0,39.0,0.46,0.18,4.5,15.7,10.1,6.4,1.9,0.7,15.3,14.2,0.0,0.3,0.3,-2.6,0.0,2.07,0.34,1.22,0.27,0.05,0.34,0.44
Wayne Ellington,SG,33.0,DET,12.2,-0.2,0.09,0.5,0.62,0.44,0.61,0.42,0.52,0.8,149,338,116.0,275.0,33,63,28,35,12.0,73.0,0.81,0.1,1.3,8.1,4.7,10.2,0.9,0.8,8.5,16.7,1.3,0.5,1.9,1.1,-1.3,9.61,1.46,1.85,0.39,0.2,0.72,1.28
Wendell Carter Jr.,C,21.0,CHI,16.8,-1.35,0.12,0.1,0.56,0.5,0.52,0.3,0.53,0.73,230,457,15.0,51.0,215,406,131,179,132.0,311.0,0.11,0.39,10.3,24.5,17.35,11.0,1.25,2.7,12.5,19.3,0.85,0.85,1.65,-1.1,-0.3,11.22,1.93,8.2,0.65,0.78,1.44,2.7
Wenyen Gabriel,PF,23.0,NOP,9.8,-3.3,0.05,-0.1,0.53,0.4,0.51,0.41,0.39,0.65,24,60,13.0,32.0,11,28,11,17,20.0,34.0,0.53,0.28,9.0,15.3,12.2,5.9,1.8,3.1,18.2,14.4,0.0,0.3,0.3,-3.2,-0.1,3.43,0.52,2.57,0.43,0.38,0.71,1.52
